"State","Honey-producing-colonies 1/","Yield-per-colony","Yield-Production-colony","Yield-Stocks-December 15 2/","Average-price per-pound 3/","Value-of-production 4/"
"Alabama","7","45","315","22","277","873"
"Arizona","22","40","880","97","196","1725"
"Arkansas","29","77","2233","223","191","4265"
"California","335","41","13735","2198","209","28706"
"Colorado","33","43","1419","284","206","2923"
"Florida","205","43","8815","529","240","21156"
"Georgia","99","32","3168","190","296","9377"
"Hawaii","12","131","1572","16","151","2374"
"Idaho","95","44","4180","1045","179","7482"
"Illinois","11","46","506","167","476","2409"
"Indiana","7","48","336","128","394","1324"
"Iowa","35","58","2030","1035","222","4507"
"Kansas","7","79","553","260","418","2312"
"Kentucky","5","38","190","42","408","775"
"Louisiana","43","81","3483","279","188","6548"
"Maine","12","33","396","51","545","2158"
"Michigan","87","45","3915","822","241","9435"
"Minnesota","126","62","7812","1016","186","14530"
"Mississippi","13","80","1040","83","181","1882"
"Missouri","8","65","520","57","353","1836"
"Montana","145","72","10440","2506","230","24012"
"Nebraska","42","63","2646","423","199","5266"
"New Jersey","13","28","364","167","786","2861"
"New York","57","56","3192","766","301","9608"
"North Carolina","11","41","451","99","434","1957"
"North Dakota","455","74","33670","4377","189","63636"
"Ohio","15","73","1095","657","312","3416"
"Oregon","78","40","3120","998","189","5897"
"Pennsylvania","16","46","736","177","340","2502"
"South Carolina","16","34","544","27","306","1665"
"South Dakota","255","57","14535","6541","191","27762"
"Tennessee","7","41","287","75","468","1343"
"Texas","120","66","7920","2297","211","16711"
"Utah","27","31","837","67","206","1724"
"Vermont","7","45","315","120","417","1314"
"Virginia","5","35","175","39","573","1003"
"Washington","77","45","3465","1594","225","7796"
"West Virginia","6","40","240","50","385","924"
"Wisconsin","53","56","2968","683","277","8221"
"Wyoming","39","53","2067","186","159","3287"
