20,h,,Honey,Yield,,,Average,Value
20,h,State,producing,per,Production,Stocks,price per,of
20,h,,colonies ,colony,,15-Dec,pound,production
20,h,,,,,,,
20,u,,"1,000",(pounds),"(1,000 pounds)","(1,000 pounds)",(cents),"(1,000 dollars)"
20,d,Alabama,45,22,990,109,0.596,590
20,d,Arizona,59,57,"3,363",303,0.418,"1,406"
20,d,Arkansas,77,33,"2,541",610,0.471,"1,197"
20,d,California,545,26,"14,170",850,0.407,"5,767"
20,d,Colorado,41,61,"2,501",450,0.485,"1,213"
20,d,Connecticut,8,23,184,88,1.01,181
20,d,Delaware,1,35,35,5,0.794,28
20,d,Florida,360,76,"27,360","3,557",0.424,"11,601"
20,d,Georgia,139,22,"3,058",275,0.491,"1,501"
20,d,Hawaii,7,102,714,536,0.505,367
20,d,Idaho,109,39,"4,251",765,0.476,"2,023"
20,d,Illinois,45,42,"1,890",662,0.647,"1,223"
20,d,Indiana,80,27,"2,760",475,0.695,"1,501"
20,d,Iowa,80,83,"6,640","1,926",0.499,"3,313"
20,d,Kansas,50,52,"2,600",702,0.466,"1,212"
20,d,Kentucky,60,20,"1,200",192,0.751,901
20,d,Louisiana,36,37,"1,332",293,0.461,614
20,d,Maine,5,22,110,12,0.91,100
20,d,Maryland,13,29,377,64,0.695,262
20,d,Massachusetts,12,19,228,57,1.01,230
20,d,Michigan,110,50,"5,500","1,815",0.507,"2,789"
20,d,Minnesota,155,92,"14,260","1,854",0.476,"6,788"
20,d,Mississippi,59,23,"1,357",339,0.656,890
20,d,Missouri,116,50,"5,800",638,0.599,"3,474"
20,d,Montana,88,112,"9,856","1,084",0.469,"4,622"
20,d,Nebraska,138,50,"6,900",897,0.44,"3,036"
20,d,Nevada,9,55,495,20,0.533,264
20,d,New Hampshire,4,29,116,13,1.02,118
20,d,New Jersey,37,28,"1,036",259,0.763,790
20,d,New Mexico,16,59,944,274,0.484,457
20,d,New York,120,40,"4,800","1,056",0.532,"2,554"
20,d,North Carolina,210,20,"4,200",924,0.713,"2,995"
20,d,North Dakota,125,120,"15,000","2,325",0.492,"7,380"
20,d,Ohio,102,22,"2,244",381,0.574,"1,288"
20,d,Oklahoma,67,40,"2,680",536,0.593,"1,589"
20,d,Oregon,48,29,"1,392",181,0.481,670
20,d,Pennsylvania,93,31,"2,883",923,0.615,"1,773"
20,d,Rhode Island,1,26,26,5,0.975,25
20,d,South Carolina,56,19,1064,138,0.767,816
20,d,South Dakota,155,58,"8,990","1,169",0.458,"4,117"
20,d,Tennessee,156,24,"3,744",487,0.667,"2,497"
20,d,Texas,200,47,"9,400","1,504",0.458,"4,305"
20,d,Utah,47,29,1363,218,0.502,684
20,d,Vermont,7,43,301,66,0.843,254
20,d,Virginia,78,22,"1,716",343,0.586,"1,006"
20,d,Washington,95,25,"2,375",499,0.46,"1,093"
20,d,West Virginia,94,19,"1,786",375,0.787,"1,406"
20,d,Wisconsin,117,88,10296,"3,912",0.508,"5,230"
20,d,Wyoming,36,100,"3,600",198,0.454,"1,634"
20,d,US,"4,311",46.4,"199,828","34,364",0.499,"99,768"
,,,,,,,,
,,,,,,,,
,,,,,,,,
